imagen,precio_0,precio_1,titulo
https://www.fybeca.com/images/thumbnail/2772.jpg,10.62,10.0,"kiadon gotas 40 mg, frasco 28 ml"
https://www.fybeca.com/images/thumbnail/4563.jpg,2.68,2.6,vitamina c  (mk) gotas fresa f/30 ml.
https://www.fybeca.com/images/thumbnail/2330.jpg,16.5,15.6,etec 1000 capsulas blandas 1000
https://www.fybeca.com/images/thumbnail/1933.jpg,8.7,8.4,benexol forte comprimidos 
https://www.fybeca.com/images/thumbnail/153725.jpg,17.7,15.9,berocca performance
https://www.fybeca.com/images/thumbnail/100155733.jpg,20.0,18.4,berocca performance tabletas eferv. c/30
https://www.fybeca.com/images/thumbnail/162044.jpg,7.5,6.77,berocca performance comprimidos efervescentes 
https://www.fybeca.com/images/thumbnail/49993.jpg,15.12,14.64,la sante - vitamina c mandarina 500 mg 12 sobres de  12 tabletas masticables cada una 
https://www.fybeca.com/images/thumbnail/49992.jpg,15.12,14.64,vitamina c (la sante) tabs. mast. chicle c/12 sob. sueltas
https://www.fybeca.com/images/thumbnail/227084.jpg,4.25,3.92,goldenvit 100 gr
https://www.fybeca.com/images/thumbnail/41175.jpg,15.0,14.52,la sante - vitamina c-tabletas masticables tutti frutti 500 mg 
https://www.fybeca.com/images/thumbnail/40910.jpg,15.12,14.64,la sante - vitamina c naranja 500 mg - 12 sobres de 12 tabletas masticables cada uno. 
https://www.fybeca.com/images/thumbnail/100097237.jpg,8.7,8.4,egogyn capsulas blandas 400ui c/30
https://www.fybeca.com/images/thumbnail/41895.jpg,15.0,14.7,egogyn 1000 u.i vitamina e capsulas caja de 30 unidades
https://www.fybeca.com/images/thumbnail/41929.jpg,14.4,13.2,perfectil capsulas caja 30 unidades
https://www.fybeca.com/images/thumbnail/75458.jpg,19.08,18.12,cebion tab.mast. mandarina 500mg c/12 sueltas
,13.1,12.75,raquiferol amp. bebibles 2000ui f/10ml c/5 sueltas
https://www.fybeca.com/images/thumbnail/4678.jpg,18.24,17.28,cebion tabletas masticables fresa 500 mg
https://www.fybeca.com/images/thumbnail/98575.jpg,7.48,7.05,mulgatol jalea banano t/100 g
https://www.fybeca.com/images/thumbnail/2370.jpg,7.48,7.05,mulgatol jalea 8 vitaminas t/100 gr.
,11.2,10.8,altazinc tab 10mg  c/40 suelta
https://www.fybeca.com/images/thumbnail/5104.jpg,16.8,11.76,gerimax 30 tabletas 
https://www.fybeca.com/images/thumbnail/58173.jpg,18.9,18.0,gerimax ginseng tabletas
https://www.fybeca.com/images/thumbnail/210184.jpg,19.8,18.6,gerimax instant energy tabletas
https://www.fybeca.com/images/thumbnail/186353.jpg,4.58,4.31,complevita 120 ml.
https://www.fybeca.com/images/thumbnail/186352.jpg,4.4,4.14,complevita gotas 30 ml
https://www.fybeca.com/images/thumbnail/269894.jpg,10.53,10.11,cebion cebion pack x 30
https://www.fybeca.com/images/thumbnail/2054.jpg,3.17,2.99,cebion fresa 30 ml
https://www.fybeca.com/images/thumbnail/758.jpg,3.51,3.31,cebion tabs. eferv. 1gr. naranja t/10
https://www.fybeca.com/images/thumbnail/757.jpg,4.99,4.7,cebion calcio + vitamina c 
https://www.fybeca.com/images/thumbnail/637.jpg,2.9,2.76,complejo b (life) jarabe f/120 ml.
https://www.fybeca.com/images/thumbnail/913.jpg,16.5,15.3,supradyn caps. f/30 sueltas
https://www.fybeca.com/images/thumbnail/158406.jpg,9.6,9.0,z full 
https://www.fybeca.com/images/thumbnail/158407.jpg,35.1,33.3,visovit comprimidos recubiertos
https://www.fybeca.com/images/thumbnail/1352.jpg,21.3,19.8,pharmaton capsulas 30 unidades
https://www.fybeca.com/images/thumbnail/144144.jpg,26.4,24.9,vitafem comprimidos recubiertos
https://www.fybeca.com/images/thumbnail/97716.jpg,19.1,18.0,cebion minis multisabores 100 mg
https://www.fybeca.com/images/thumbnail/151664.jpg,6.5,6.12,apetitol plus 120 ml.
https://www.fybeca.com/images/thumbnail/205929.jpg,10.19,9.6,z full vainilla 300 gr
https://www.fybeca.com/images/thumbnail/205928.jpg,10.19,9.6,z full fresa 300 gr
https://www.fybeca.com/images/thumbnail/116167.jpg,6.5,6.12,fortic-hem 30 ml.
https://www.fybeca.com/images/thumbnail/235354.jpg,15.0,14.1,"coenzima - q10, actua en enfermedades degenerativas - 50mg"
https://www.fybeca.com/images/thumbnail/283227.jpg,5.4,5.18,coenzima q plus capsulas caja 20 unidades
https://www.fybeca.com/images/thumbnail/206192.jpg,12.6,12.0,vitamina e-plus 500 u.i.
https://www.fybeca.com/images/thumbnail/206193.jpg,18.0,17.1,"gelcavit q-10 - vitaminas, minerales y coenzima q-10"
https://www.fybeca.com/images/thumbnail/206194.jpg,8.1,7.5,gelcavit students.
https://www.fybeca.com/images/thumbnail/188635.jpg,5.2,4.9,hierrovit ultra 220 ml
https://www.fybeca.com/images/thumbnail/260336.jpg,8.16,7.77,tearsoft gotas 15 ml
https://www.fybeca.com/images/thumbnail/100164456.jpg,18.43,17.32,dr vit kids gomitas fibra 120 gr f/30
https://www.fybeca.com/images/thumbnail/100164457.jpg,18.43,17.32,dr vit adult gomitas fibra 120 gr f/30
https://www.fybeca.com/images/thumbnail/5141.jpg,18.0,17.1,kobil e capsulas
https://www.fybeca.com/images/thumbnail/1542.jpg,12.6,12.0,supravital capsulas
https://www.fybeca.com/images/thumbnail/44276.jpg,9.6,9.0,supravital platinum capsulas 
https://www.fybeca.com/images/thumbnail/4317.jpg,3.2,3.01,adecil oral 120 ml
https://www.fybeca.com/images/thumbnail/3419.jpg,2.99,2.82,adecil oral 10 ml
https://www.fybeca.com/images/thumbnail/1801.jpg,2.99,2.82,complexan jarabe f/120 ml.
https://www.fybeca.com/images/thumbnail/3429.jpg,6.0,6.0,hierrovit forte
https://www.fybeca.com/images/thumbnail/301572.jpg,7.2,6.84,hapeco plus capsulas caja 24 unidades
https://www.fybeca.com/images/thumbnail/1533.jpg,6.5,6.0,vita b usd
https://www.fybeca.com/images/thumbnail/1531.jpg,13.0,12.0,vita e (interpharm) caps. 400 u.i. f/50 sueltas
https://www.fybeca.com/images/thumbnail/1532.jpg,8.7,8.1,vita e (interpharm) caps. 400 u.i. f/30 sueltas
https://www.fybeca.com/images/thumbnail/302244.jpg,5.5,5.19,emulsion scott cereza 200ml
https://www.fybeca.com/images/thumbnail/288566.jpg,9.8,9.4,propovit 500mg/200ui
https://www.fybeca.com/images/thumbnail/279146.jpg,26.95,25.6,calcibon natal forte natal forte frasco x 30 tabs
https://www.fybeca.com/images/thumbnail/46979.jpg,5.46,5.14,enervit jalea f/120 ml.
https://www.fybeca.com/images/thumbnail/4239.jpg,15.9,15.0,ultrac e caps. blandas c/30 sueltas
https://www.fybeca.com/images/thumbnail/5020.jpg,17.52,16.56,mixavit tabs. m c/24 sueltas
https://www.fybeca.com/images/thumbnail/161864.jpg,13.9,13.09,mixavit infantil jarabe f/180 ml.
https://www.fybeca.com/images/thumbnail/236404.jpg,6.6,6.3,recom-b caja x 30 sueltas
https://www.fybeca.com/images/thumbnail/57246.jpg,16.8,12.6,vitacap - g
https://www.fybeca.com/images/thumbnail/103669.jpg,7.5,6.9,mk - biocalcium d 500 mg
https://www.fybeca.com/images/thumbnail/302704.jpg,8.4,7.99,fortzink caps. 20mg c/20
https://www.fybeca.com/images/thumbnail/302703.jpg,8.4,7.99,fortzink fortzink jarabe 20mg f/120ml
https://www.fybeca.com/images/thumbnail/100164459.jpg,15.61,14.67,dr vit adult gomitas multivitamin 120 gr f/60
https://www.fybeca.com/images/thumbnail/100164458.jpg,15.61,14.67,dr vit kids gomitas multivitamin 150 gr f/60
