"","CIUDAD","NOMBRE","coddom","DOMINIO","ZONA","SECTOR","VIVIENDA","HOGAR","RV00","RV32","RV33","RV34","RV35","RV37","RV38","RV39","RV310","fexph","fexpp"
"1",10150,"CUENCA","0101","CUENCA",1,5,2,1,1,1,9,2,1,10150,5,NA,1,31.94547851,95.83643553
"2",10150,"CUENCA","0101","CUENCA",1,5,5,1,1,1,7,2,2,10150,5,NA,1,31.94547851,63.89095702
"3",10150,"CUENCA","0101","CUENCA",1,5,11,1,1,1,1,1,1,10150,2,1,1,31.94547851,95.83643553
"4",10150,"CUENCA","0101","CUENCA",1,12,3,1,1,1,10,2,2,10150,1,2,1,31.94547851,31.94547851
"5",10150,"CUENCA","0101","CUENCA",1,12,6,1,1,1,7,1,1,10150,5,NA,1,31.94547851,95.83643553
"6",10150,"CUENCA","0101","CUENCA",1,12,14,1,1,1,9,2,1,10150,5,NA,1,31.94547851,223.61834957
"7",10150,"CUENCA","0101","CUENCA",1,12,15,1,1,1,11,2,1,10150,5,NA,1,31.94547851,95.83643553
"8",10150,"CUENCA","0101","CUENCA",1,12,22,1,1,2,11,1,1,10150,5,NA,1,31.94547851,63.89095702
"9",10150,"CUENCA","0101","CUENCA",2,3,12,1,1,1,2,2,1,10150,2,2,1,34.84961292,104.54883876
"10",10150,"CUENCA","0101","CUENCA",2,12,16,1,1,1,7,2,2,10150,5,NA,1,33.33441235,66.6688247
"11",10150,"CUENCA","0101","CUENCA",3,6,4,1,1,1,10,2,1,10150,5,NA,1,31.94547851,127.78191404
"12",10150,"CUENCA","0101","CUENCA",3,6,20,1,1,1,7,2,1,10150,5,NA,NA,31.94547851,95.83643553
"13",10150,"CUENCA","0101","CUENCA",3,6,20,1,2,1,8,2,1,10150,5,NA,1,31.94547851,95.83643553
"14",10150,"CUENCA","0101","CUENCA",3,6,21,1,1,1,7,2,1,10150,5,NA,1,31.94547851,63.89095702
"15",10150,"CUENCA","0101","CUENCA",4,4,1,1,1,1,11,2,1,10150,5,NA,1,33.33441235,66.6688247
"16",10150,"CUENCA","0101","CUENCA",5,5,16,1,1,1,8,2,1,10150,2,2,1,33.33441235,66.6688247
"17",10150,"CUENCA","0101","CUENCA",5,5,18,1,1,3,2,1,1,10150,5,NA,1,33.33441235,66.6688247
"18",10150,"CUENCA","0101","CUENCA",5,8,20,1,1,1,11,2,1,10150,5,NA,1,38.33457421,76.66914842
"19",10150,"CUENCA","0101","CUENCA",5,8,24,1,1,1,4,2,1,10150,5,NA,1,38.33457421,76.66914842
"20",10150,"CUENCA","0101","CUENCA",7,2,7,1,1,1,9,2,1,10150,2,1,1,31.94547851,31.94547851
"21",10150,"CUENCA","0101","CUENCA",8,2,8,1,1,1,12,1,1,10150,5,NA,1,33.33441235,100.00323705
"22",10150,"CUENCA","0101","CUENCA",8,4,20,1,1,3,2,1,1,10150,5,NA,1,31.94547851,63.89095702
"23",10150,"CUENCA","0101","CUENCA",9,3,4,1,1,4,2,2,2,10150,5,NA,1,31.94547851,63.89095702
"24",10150,"CUENCA","0101","CUENCA",9,10,2,1,1,1,3,2,2,10150,2,1,1,31.94547851,31.94547851
"25",10150,"CUENCA","0101","CUENCA",11,3,3,1,1,2,6,1,2,10150,5,NA,1,31.94547851,63.89095702
"26",10150,"CUENCA","0101","CUENCA",12,8,8,1,1,4,8,2,2,10150,5,NA,1,33.33441235,33.33441235
"27",10150,"CUENCA","0101","CUENCA",13,10,2,1,1,1,1,1,2,10150,5,NA,1,31.94547851,95.83643553
"28",10150,"CUENCA","0101","CUENCA",13,10,7,1,1,1,11,2,2,10150,5,NA,1,31.94547851,127.78191404
"29",10150,"CUENCA","0101","CUENCA",13,10,20,1,1,4,2,2,2,10150,3,2,1,31.94547851,95.83643553
"30",10150,"CUENCA","0101","CUENCA",16,3,7,1,1,1,3,1,1,10150,5,NA,1,31.94547851,127.78191404
"31",10150,"CUENCA","0101","CUENCA",16,3,15,1,1,1,1,2,1,10150,5,NA,1,31.94547851,95.83643553
"32",10150,"CUENCA","0101","CUENCA",16,4,1,1,1,2,6,2,2,10150,5,NA,1,31.94547851,31.94547851
"33",10150,"CUENCA","0101","CUENCA",18,1,5,1,1,3,6,2,2,10150,5,NA,1,34.84961292,139.39845168
"34",10150,"CUENCA","0101","CUENCA",19,5,4,1,1,1,1,1,1,10150,5,NA,1,31.94547851,95.83643553
"35",10150,"CUENCA","0101","CUENCA",19,5,10,1,1,1,3,2,1,10150,5,NA,1,31.94547851,31.94547851
"36",10150,"CUENCA","0101","CUENCA",20,8,18,1,1,1,12,2,1,10150,5,NA,NA,31.94547851,63.89095702
"37",10150,"CUENCA","0101","CUENCA",20,8,18,1,2,1,1,2,1,10150,5,NA,NA,31.94547851,63.89095702
"38",10150,"CUENCA","0101","CUENCA",20,8,18,1,3,1,3,2,1,10150,5,NA,NA,31.94547851,63.89095702
"39",10150,"CUENCA","0101","CUENCA",20,8,18,1,4,1,5,2,1,10150,5,NA,1,31.94547851,63.89095702
"40",10150,"CUENCA","0101","CUENCA",21,7,17,1,1,4,1,2,2,10150,5,NA,1,33.33441235,33.33441235
"41",10150,"CUENCA","0101","CUENCA",21,7,18,1,1,1,3,2,2,10150,5,NA,1,33.33441235,33.33441235
"42",10150,"CUENCA","0101","CUENCA",21,7,20,1,1,1,6,1,2,10150,3,1,1,33.33441235,66.6688247
"43",10150,"CUENCA","0101","CUENCA",22,11,1,1,1,1,9,2,2,10150,5,NA,1,31.94547851,95.83643553
"44",10150,"CUENCA","0101","CUENCA",22,11,7,1,1,1,5,2,1,10150,5,NA,1,31.94547851,127.78191404
"45",10150,"CUENCA","0101","CUENCA",23,4,16,1,1,4,8,2,2,10150,5,NA,1,31.94547851,31.94547851
"46",10150,"CUENCA","0101","CUENCA",23,8,12,1,1,1,12,2,1,10150,5,NA,1,31.94547851,63.89095702
"47",10150,"CUENCA","0101","CUENCA",25,2,12,1,1,1,2,1,2,10150,5,NA,NA,31.94547851,159.72739255
"48",10150,"CUENCA","0101","CUENCA",25,2,12,1,2,1,5,1,2,10150,5,NA,NA,31.94547851,159.72739255
"49",10150,"CUENCA","0101","CUENCA",25,2,12,1,3,1,6,1,2,10150,5,NA,1,31.94547851,159.72739255
"50",10150,"CUENCA","0101","CUENCA",25,2,16,1,1,1,9,2,1,10150,5,NA,1,31.94547851,63.89095702
"51",10150,"CUENCA","0101","CUENCA",27,7,15,1,1,2,9,2,2,10150,1,1,1,33.33441235,66.6688247
"52",10150,"CUENCA","0101","CUENCA",27,7,23,1,1,1,11,1,2,10150,2,1,1,33.33441235,33.33441235
"53",10150,"CUENCA","0101","CUENCA",28,9,18,1,1,2,12,1,1,10150,5,NA,1,33.33441235,33.33441235
"54",10150,"CUENCA","0101","CUENCA",30,4,19,1,1,4,3,2,2,10150,2,2,NA,34.84961292,104.54883876
"55",10150,"CUENCA","0101","CUENCA",30,4,19,1,2,4,8,2,2,10150,5,NA,1,34.84961292,104.54883876
"56",10150,"CUENCA","0101","CUENCA",32,1,18,1,1,1,3,2,1,10150,5,NA,1,34.84961292,104.54883876
"57",10150,"CUENCA","0101","CUENCA",33,2,9,1,1,1,8,2,1,10150,5,NA,1,34.84961292,174.2480646
"58",10150,"CUENCA","0101","CUENCA",33,2,10,1,1,1,9,1,1,10150,5,NA,NA,34.84961292,69.69922584
"59",10150,"CUENCA","0101","CUENCA",33,2,10,1,2,1,1,1,1,10150,5,NA,NA,34.84961292,69.69922584
"60",10150,"CUENCA","0101","CUENCA",33,2,10,1,3,1,7,1,1,10150,5,NA,1,34.84961292,69.69922584
